ID,Description,Code,MerchantID,Countries,Exclusions,StartDate,EndDate,Disabled,len_description
3054453,Free Shipping to Store.,,5479475,US,,2020-11-11T20:53:00Z,2026-11-11T05:00:00Z,FALSE,23
3145453,Save 30%-40% Off On Spring Clearance Styles + Final Sale $4.98 And Up + $4.99 Panties. Valid 3/14-3/27.,,5479475,US,,2023-03-14T04:00:00Z,2023-03-28T04:00:00Z,FALSE,103
3151415,"Save on The New Backsmoother Bra with Lace, Now $30 Plus All Other Bras $35. Valid 3/16-3/19.",,5479475,US,,2023-03-15T21:00:00Z,2023-03-20T04:00:00Z,FALSE,93
3054454,Affiliate Exclusive! Enjoy $50 Off $150 with code: LBAFF50OFF.,LBAFF50OFF,5479475,US,,2022-07-22T15:56:00Z,2028-07-22T04:00:00Z,FALSE,62
3043460,Subsribe Major Lutie Fitness andget 5% Off- First Order Deal.,5%majorlutie,141662,US,,2022-12-31T08:00:00Z,2023-12-30T08:00:00Z,FALSE,61
3096569,15% off on All the Items in Stock- Limited 50 Registered.,5%majorlutie,141662,US,,2023-02-19T21:40:00Z,2023-12-30T08:00:00Z,FALSE,57
3050555,8% Off - All the Items in stock - Order Your Valentine's Gift in Advance.,VALENTINE,141662,US,,2023-02-17T08:00:00Z,2023-12-30T08:00:00Z,FALSE,73
3110349,You can't Fake Your Strength - Get 10% Off and Build Up Your Garage Gym.,JASL,141662,US,,2023-02-27T23:31:00Z,2023-03-30T09:00:00Z,FALSE,72
3115973,Fitness with your Partner- Pre-Order with Exclusive 10% Off.,S7MAJOR,141662,US,,2023-03-01T18:28:00Z,2023-03-30T09:00:00Z,FALSE,60
2718914,All prenatal products - 10% off with NEST10.,NEST10,127814,US,,2022-09-16T12:12:00Z,2024-06-14T14:18:00Z,FALSE,44
3058448,"Save 10% Off Pro 4 Cameras!
Stackable with sale price but NOT other promo, such as sign up & save, ID.me, etc.",winter15pro4,106340,US,,2023-01-31T00:00:00Z,2023-04-01T00:00:00Z,FALSE,110
2869707,Up to 70% OFF our Most Popular Products in All Categories and All Brands! Don't Miss these Holiday Savings.,BLACK,62181,US,,0001-01-01T00:00:00Z,3000-01-04T00:00:00Z,FALSE,107
3134049,It's your Lucky Day! Get an EXTRA 11% OFF LOW PRICES.,Patrick,62181,US,,2023-03-09T00:00:00Z,2023-03-20T00:00:00Z,FALSE,53
3134202,It's your Lucky Day! Get an EXTRA 11% OFF LOW PRICES.,Patrick,62181,US,,2023-03-09T01:06:00Z,2023-03-21T00:00:00Z,FALSE,53
3134203,It's your Lucky Day! Get an EXTRA 11% OFF LOW PRICES.,Patrick,62181,US,,2023-03-09T01:07:00Z,2023-03-21T00:00:00Z,FALSE,53
1245522,Fixed Blade Hunting Knives on Sale.,freedom,5479385,US,,2015-04-20T00:00:00Z,2037-12-31T00:00:00Z,FALSE,35
1245523,Upgrade your kitchen knives today. Save up to 70% off retail.,freedom,5479385,US,,2015-04-20T00:00:00Z,2037-12-31T00:00:00Z,FALSE,61
